商品型号,评论内容
远山白魅族16,"首先说下机器，是20号0点01秒抢到的，6+64版本，超级激动，点付款那一刻手都是颤抖的，太幸运了。
再说说使用体验吧，整体来说，还行，屏幕素质一般，全面屏手势在呼出多任务的时候有明显掉帧，呼出也比较迟慢，灵敏度不够。相机优势在于夜间，但是成像速度离发布会说的随手拍还有差距，845性能在全高画质的刺激战场还有明显的帧率不稳定现象（全指望日后的优化了），还有电池，比我爱疯8P好那么一点，对于安卓阵营来说，一般般。
另外，有想了解什么的，欢迎评论，我尽可能解释，给个参考。
另外给快递员疯狂打call，太给力了。我人在外面，打个电话过去帮我转运过来，能在第一时间体验到魅族16，十分nice。手机也非常的棒，快递员也非常的棒！！！"
远山白魅族16 PLUS,本人地道的花粉，从mate8到10。确切的说845确实比970要强大不少，全部高帧率无压力，顺畅，而且轻微有点温！我的mate10烫手的一比。团战不会卡，团战不会卡！团战不会卡！拍照的话我觉得还可以，中等水平吧，要什么自行车！马达说实话是山几年三星玩剩下的，不过确实提升了手机触感，好评，在当下所有手机厂家堆硬件的时代，魅族没有忘了肉体触感这一最基本的生理需求。本人重度游戏爱好者，王者荣耀，刺激战场轮番轰炸差不多5个小时吧。大概20分钟充电到百分七十，继续轰炸3小时！爽！屏幕看起来比一加6t（已退货）舒服，毕竟玩游戏最好不要异性屏。非要吐槽的话就是系统简单些，因为用惯了华为，希望下次能见到红外发射，毕竟我们不是随便就能找到遥控器。
静夜黑魅族16,"超爱魅族，超爱！这次终于换芯了，再也没有短板，定制三星屏，线性马达，定制最小前摄，后置380大底，屏下指纹，非刘海全面屏，Flyme7系统，7.3超薄机身，还有最好的性价比！
一口气买2台！我爱魅族！一万个满意！小米mix2已经被我出手了。"
静夜黑魅族16,下午快四点拿到！非常满意！屏下指纹，845通关散热，安兔兔跑分第二！鲁大师流畅度第一！非刘海屏！仅次于FINDX和NEX的屏占比！耳机孔！立体扬声器！震动马达！这是2599小米8能比的？小米8毫无特色！一个双频GPS如何惊艳众人！抄苹果的摄像头刘海屏，靠着不懂手机觉得苹果最好又买不起X的人撑起销量忽悠大众！
静夜黑魅族16 PLUS,20号凌晨抢到了，付款时犹豫了五分钟不知道该不该要。其实就是想试试能不能抢到，结果还真让我抢到了。现在是全面屏的时代，而我还在用着vivoXplay6，想到这狠心就买了！21号早上亲自去京东物流公司去取的！打开后给我的感觉很惊喜！手机流畅度很好！毕竟是骁龙845，开机后先下载了刺激战场，玩了局吃鸡，第一！确实比820好很多！我没有用过骁龙835处理器的手机。这个手机的手感真的很棒！666~
静夜黑魅族16,"#追求源于热爱#魅族第一款845旗舰手机，优良的设计，扎实的做工，还有配置，也是目前主流！
每天100台全款预售，有幸抢到！手机真的很好！
6.0英寸，刚刚好，手机格外的精致，真的很漂亮
用了一天下来，感觉屏下指纹有点费电外，其他各方面都不错，值得购买，值得等待以后还会继续支持魅族
京东物流发货很快！同时也祝京东越来越好！"
静夜黑魅族16 PLUS,20号下单，9.2号才拿到手，这期间骚扰京东客服n多次，终于十几天发货了。拍照不错，夜拍很赞，比我以前用的ip6s拍照好很多，屏下指纹很赞，识别率很高。这个手机的操作模式还得适应。很喜欢。我觉得这应该是我京东购物这么多次第一次这么认真的评价了。真香。
极光蓝魅族16 PLUS,最直观的是在双扬声器三星@的屏幕和横向马达的震动反馈上，魅族真的很用心在做这台机器。这次真的吹爆魅族16plus，夜拍噪点控制太强了。虽然一些特殊场景和旗舰相比还是有劣势，但无疑在三千元这个价位是一台非常好机器。附上原图，左下角都有水印，无水印为Note8分别是魅族16plus，iPhoneXsMax，三星Note8。小小的缺点就是光学指纹还有待提高，洗完澡后准确率偏低一些。可能是姿势问题，给舍友解锁就轻松自如。还有就是全面屏手势操作还不够完善也不是跟手，特别是玩游戏返回不是很方便。
静夜黑魅族16,整整等了10天才拿到手机，昨天手机到货，特地用了一天才来评论，这是第四个魅族手机。一直在小米8和一加6魅族16当中纠结，最终还是被魅族情怀打动了。手机很流畅，吃鸡帧数和画质开到最好也很流畅，一把吃鸡半个小时下来手机不是很烫，不知道是因为气温只有10&deg;左右还是真的铜管有用。我选择魅族还有一个原因就是屏下指纹，但是很遗憾，屏下指纹在我贴了钢化膜之后基本上没用，人脸解锁也没一加6体验好。手机续航没有像网上说的那样，我觉得完全足够。一把半个小时的吃鸡下来没用到10%的电，比我的魅族pro6s好多了。其他宣传的像马达和音质什么鬼只有等后期慢慢体验看看。
远山白魅族16,"非煤油，不吹不黑。
首先手机真的好看，上下对称设计好评，没有大刘海；
拍照不错，噪点很少，照片纯净度很高，夜景很不错；
flyme系统界面很好看，很文艺，比一加的性冷淡好；
续航嘛，3000毫安的电池还是有点捉急，还好有快充；
双扬声器超爽，属于用过就回不去的那种，立体声很好；线性马达震感不错，但应该是限于体积，和苹果还是有差距，震感还不够苹果强烈；屏下指纹能用，不能说好用，不过基本到达了能用的程度。
然后是吐槽：有一些动画的掉帧，多出现在菜单栏下拉；
待机耗电有点高，希望后期系统更新可以改善；
总之16th不管从设计还是硬件上来看都是不错的，希望魅族加油，越来越好。"
远山白魅族16,"昨晚准时十二点抢到了，今天下午六点收到。
魅族的第一款845旗舰骁龙处理器，魅族还是那个熟悉的配方熟悉的味道，支持魅族坚持走自己的风格没有跟风刘海屏?，手机?很薄手感也很好，个人觉得最大的亮点还是屏下指纹吧！还是有点遗憾没有nfc功能吧，最后祝所有魅族粉早日抢到?爱手机。买东西选京东自营就是快！！！??"
静夜黑魅族16,手机收到 比想象中的好看不少 尤其是屏下指纹解锁 速度没那么慢 后壳好看的不像话 裸奔吧
静夜黑魅族16,带着满心的期盼。速度，音质都达到了心中的预期。一直担心的信号也终于OK了。比我的xplay6要强。到遗憾的是wifi信号不太稳定。从mx2。魅蓝note3。一直期盼魅族能有拿的出手的真正旗舰这次魅族做饭了。但同样的三星led屏。不说三星了。和vivo的对比下，大家能看出来什么吗？
静夜黑魅族16,"打开包装发现盒子也是很轻薄，撕开胶条会有隐藏的英文open出现，上手把玩之后第一感觉就是轻薄！非常轻薄！颜值也很高，不知道是不是赶工的原因，机身的中框边缘衔接处打磨的不是很好，有点割手。
使用感受:首先手机正反面裸机手感太滑，戴上附送的外壳后好很多，但是屏幕非常粘指纹！然后就是系统默认的字体偏大！图标也很大！有些竖屏游戏有黑边（我玩的皇室战争），默认的虚拟按键其实很碍地方无奈只能开全屏手势，另外一个很大的问题就是续航！！一觉醒来没了20的电（已开启省电模式）? ?建议注重续航的朋友买plus。
本来对魅族已经不抱什么希望了，但这款机型真心喜欢，果断回归，总体来说16很精致，当初的小而美似乎又回来了，最后希望魅族能在售后多走点心吧。"
静夜黑魅族16,#追求源于热爱#运行速度很好，很流畅，外观很漂亮，手感很棒。我是女生，我觉得魅族16已经完全满足了我的要求，颜值高，手感好，运行流畅不卡顿，没有指纹开孔，指纹识别速度快，人脸识别也挺好用的，拍照也不错，线性马达感觉挺好，和舍友的iPhone7很像了。总之我眼里魅族16是完美的。唯一一点小缺点就是电池有点小。不过没关系，我以前的vivo一天要充三次，这个已经好多了。作为偏远地区我竟然抢到了16并且两天拿到手也是很开心啦。真的很建议买16，是真香。
静夜黑魅族16,外观超级棒  手感不错  指纹 脸部解锁都挺快
远山白魅族16,手机是双十一买的，2598，17号发货，18号就送到了，不得不说快递小哥很快，手机挺满意的，之前用的iPhonese，现在感觉屏幕很大，手机外放很不错，电池略小，很流畅，打游戏很爽，但是快充感觉缩水了，之前mx6也是24w，快很多，手机指纹略有不足，能接受，拍照还可以，晚上一般般，手感特别好，不喜欢刘海，所以选择了这个，2598，真香
静夜黑魅族16,"＃追求源于热爱＃
没有刘海就是最好的设计
整机看起来温文如玉，拿起来轻薄圆滑。延续魅族15系列的线性震感马达，打起字哒哒哒哒那是根本停不下来呀，立体声双扬声器，吃鸡可以做到听声辩位。
插一句，这些年厂商不学好全把3.5mm耳机孔阉割，这点魅族真的太良心了，真旗舰魅族16th。"
烟晶紫魅族16 X,"期待的手机来了。
用了几天来评论的。
速度啥的确实两千里面应该没有能比的吧。
而且手机颜值高。
有一点问题发现了就是打游戏人家打语音过来不能接而且**或者微信崩溃应该是系统的原因吧。"
远山白魅族16,双十一下单，页面显示20号发货。等到16号看到发货信息了，双十一物流慢，显示18号送到，17号下午五点显示到配送站点了，赶过去拿。包装是个像书一样的的纸盒，打开后手机还是比较满意的，颜值比米8好，带的套有特点，只是四角卡住，边框与手接触。原先也是魅族，数据直接转移过来。耗电量马马虎虎，可以接受，A屏有闪烁，对比一下米8略好。跑分一般27万多，没有达到平均数。系统比较流畅。3.5耳机插孔比较好，转接还是不便。
远山白魅族16 PLUS,被魅族15坑了，刚买了半年降价800。奈何就是喜欢魅族手机，狠下心买了魅族16plus。说实话到手给我的感觉要比魅族15强烈了好多，颜值爆表，搭配骁龙845用起来非常流畅。两个字:真香！魅族手机的颜值和系统一直在线，最近系统的小bug有点多了，希望工程师们认真起来。勿忘初衷，方得始终！
远山白魅族16,可以说18年最完美的机器了，真香。唯一也是致命的问题就是缺货了。能原价拿到，那一定是最值得入手的。从无刘海的屏幕到质感，从性能到拍照，先线性马达到音质。都很满意，但也有小小的不足，比如说拍照速度慢，逆光拍照炫光太明显，还有就是缺货。16是部好机器，但再缺货留给魅族的时间真的不多了。
静夜黑魅族16 PLUS,机子很不错，扫脸很快，屏下指纹不是很灵，有待提升技术，跑分很高。样式很好看，有些软件好像不是特别兼容，今日头条容易卡死，还有些容易打不开。
汝窑白魅族16 X,描述的一样，真机比照片好看很多，手感一流，丝质顺滑，追求源于热爱，为信仰充值，感觉值了，就好，手机靠颜值吃饭的，不将就，才能有成就~~~~
静夜黑魅族16,#追求源于热爱#20日开抢的第一批魅族16，已经使用了好多天了。1、没有刘海看着很爽2、手感不错，性能强大3、拍照很好4、温度控制也好。希望在以后继续优化！！值得买
汝窑白魅族16 X,"下面是16x,，上面大家猜，对比一下，看来三星1080p,a屏还是差很多的"
静夜黑魅族16 PLUS,物流很快，整体来说还是不错的，拿到手里就是个头大，
远山白魅族16 PLUS,这次发的快递有个外壳，手机外包装基本没瑕疵的。手机手感很好，拿到手立即开机升级了，光看外观和手感挺好的。不愧神机
远山白魅族16,20号下单，24号到手，给京东物流点赞！手机手感极佳，做工精致，运行流畅，跑分29W+，性价比基本没有对手；A屏没有想象中的不舒适，反倒觉得显示效果细腻自然；续航方面，我不打游戏，日常中度使用一天也是问题不大；拍照的话，放几张图片感受下:
静夜黑魅族16 PLUS,下单两天才出库，呵呵，用了京东四五年，没碰到过，手机也不便宜为什么不送个膜？？？？魅族手机不错，买第四个了
远山白魅族16 PLUS,从没用过这么漂亮的手机，简直就是艺术品，完爆小米。
静夜黑魅族16,双11拍下的64G版本。抢购期间还有100元的优惠幅度，过后商品一直显示需要从供货商采购状态。经过和客服妹子一番沟通询问后，产品终于在21号发货了。。。。进入正题，老煤油了。从mp3时代x3，m6，m8，mx3，mx4pro一路过来，又再次回来魅族怀抱，黄老板的小试牛刀不是盖的，系统流畅度杆杠的。产品设计，系统ui，系统流畅度，拍照，续航等感觉各方面都很优秀，习惯性全五星好评了！！！
静夜黑魅族16,＃追求源于热爱＃我是八月十六日抢的6+128的预售版，特意用了几天才来评价的，手机外观那是没的说了，就是喜欢这种风格，屏幕视野很是开阔，比我的水果5s爽多了，系统体验流畅，就是待机感觉有点耗电，WiFi下待机大概一小时1%左右，充电速度那是相当快，一小时左右满电，其他进一步体验再来评价。
砚墨黑魅族16 X,解锁响应相当灵敏，运行度中等偏上，屏幕显示很优秀，整机性能可以胜任多任务，多后台，对于极端玩家也可以勉强胜任。综合性能优秀，在现阶段，同等价位中，性能算得上霸主。
汝窑白魅族16 X,抢了N次终于抢到了，却正在采购中，期货啊，等了五天突然发货了，用了几天，说说看法，外观做工很好，屏幕清晰鲜艳，比15PLUS的2k屏好，如果看白底黑字的页面，就象在温润陶瓷上印字一样，美仑美奂，爱不释手；用手势方式需练习熟练后也挺好用的，流畅舒心，拍照清晰，这方面倒是放心的，毕竟顶级拍照配件；电池中度使用大半天吧，自动调节明陪很人性化，变化了你也察觉不到，能按个人喜好手调节变化的度；指纹在不湿手，摆好角度力度下，成功率95%，随机的话70%，有意思的是反过来180度也一样成功，担心为了提高成功率降低指纹分辨率，类似的指纹也能通过，总之，16x是款不后悔的好机。
静夜黑魅族16 PLUS,＃追求源于热爱＃终于收到手机了，不愧是魅族的真旗舰，绝对值得拥有。行百里者半九十。总的来说很满意，屏占比特别大，大小和五点几的手机差不多大，但是屏幕大一截，性能也好，电池也耐用，非常满意，还送个壳。争取摘到月亮，因为即使你坠落也会落在群星之间。很不错，屏幕大，但是很省电，打游戏电池也很耐用。快递也很快。我这张脸只要遮住两个地方就完美了！一处是右半边脸，另一处是左半边脸。上午下单，下午就到了。
极光蓝魅族16 PLUS,没有开胶、开边的现象，握持感很不错，线性马达很上瘾，装满40来个应用之后剩余98.54GB，A屏观感还比较舒适，双扬声器音效也蛮好，骁龙548加持，液冷散热，Flyme的深度优化，总算是中规中矩的年度旗舰
静夜黑魅族16 PLUS,运行速度很快，骁龙845就是牛，魅族的调校也很出色，屏幕显示也可以，就是阳光底下看的不是很清楚，正面屏幕指纹解锁有点慢，但是这个价位还是很值，本来想给五星的，但是电池容量有点小，不支持nfc和无线充电感觉没那么酷，所以四星吧，总结两个字，真香
远山白魅族16,双11那天买的白色64g的，今天拿到手，不得不说，拿到手第一感觉，轻便，材质像玉石一样温润，手感很好，然后打开感觉操作挺流畅的（我是用华为p20的），安兔兔跑分29万多吧，我本人喜欢音质好的手机，所以这个绝对不亏，因为其它不说，试用用的是华为的原装耳机，感觉音质秒杀华为p20，外放也很好，双扬声器，不过待机没有华为好，不过对与喜欢好音质的人来说这个绝对是最值得骁龙845手机了！顺便说一下，照片p20拍的。
静夜黑魅族16,不亏是旗舰机，手感很好，不过论小巧的手感还是15的手感好，电池方面对于我这种不玩游戏的来说可以用两天
汝窑白魅族16 X,帮人买的，暂时没发现什么问题，物流很快，本来还以为下单一周后才发，结果过两天就到了。
极光蓝魅族16,"用了5天了，简单说一下吧
1.准时抢的话还是很好抢的，踩点进去就可以，去早了记得退出来再进一次
2.相机，外放，屏幕绝对是很棒的，虽然没有三星强，但是很接近，前置后置拍照都很不错
3.我的极光蓝可能因为加了100吧，做工很优秀，比之前的米6好很多，机身缝隙很小，整个手机极其精致
4.手机的三个灵魂:震动，自己体验，打字开震动爽的一批。手感爆炸，今年手感最好的手机不用怀疑，特别轻薄，还有精致。845，性能很强，吃鸡很流畅，日常用也很爽，装软件都是秒装，不愧是UFS2.1的闪存
5.缺点:唯一一个缺点就是电池不禁用，只能够轻度使用，最好买个魅族充电宝搭配用吧，79那个还有快充。
PS:强烈建议买极光色，特别好看，又闪亮，又低调
屏幕指纹很好用，别看网上乱说，我手汗脱皮都事百分百解锁，早上起床或者洗完衣服会有时候解不开，这个时候也录一个指纹就好了。
液态铜管散热效果挺好，打游戏的时候背板一点热都没有，算不散到金属边框上了，散热做的很优秀"
极光蓝魅族16,预计明天，今日就到货了，吹一波物流！周一孔雀青note6丢了，思来想去，还是一步到位买了最喜欢的颜色，不将就！手机颜值超高，系统还是熟悉的味道，支持魅族，虽然note6挂失了还没找回来，总之新机到手，心情好很多！
静夜黑魅族16,收到了，很漂亮，很喜欢，很满意，这就可以了。
汝窑白魅族16 X,性能没的说，拍照也可以，比小米MiX2S省电些，就是画面图标没有小米那么精致。
汝窑白魅族16 X,手机手感很好，操作流畅，就是快递晚了一天
远山白魅族16 PLUS,身为米粉，苦等小米八探索版两个多月无果，真的心都凉了，对比探索版，16plus的设计真的惊艳到没话说，包括一些线性马达啊，液冷啊什么的感觉要比mi8的一些黑科技实用性，性价比强很多，就是不知道魅族的品控如何，昨天晚上幸运抢到，怕发货慢特意发学校里去了，结果手机今天早上就到了学校...我还要等到后天到学校去取...饥渴难耐啊...先来评论感慨一波哈哈哈，还没抢到的煤油加油哈哈哈~
极光蓝魅族16 PLUS,"真香啊。非常完美尺寸与PRO5相当,不存在适应过程。刚开机检查测试。晚点安装软件再追评。"
远山白魅族16,东西很棒，就是物流太慢，差不多8天才收到货，快递小哥态度好，还行
汝窑白魅族16 X,外观设计非常漂亮，性能也非常不错。就是照相离三星和苹果的差距有点大
静夜黑魅族16,手机挺好的，就是后盖间隙有点大，感觉被水了，厂家真的舍不得这莫点胶水嘛，相机感觉不错就是自己照不出来，后盖玻璃指纹不是一般的粘，还有就是屏幕太容易刮花了
远山白魅族16,1.关机键是像坏的，手感反馈不明显，有点松动，对比音量键的反馈，关机键的没有感觉。，音量键也应该换到屏幕左边。音量键位置让我完全不喜欢，2后盖玻璃缝较大，可以插A4纸，3.像素镜头真的一般，前置镜头很差，后置也一般，我都怀疑原创的那些硬件是不是完全不行。                                    4看图片视频吧。
远山白魅族16,用起比较流畅，系统不错，屏下指纹解锁速度一般般，肯定没得home键上解锁技术成熟，不过屏下指纹挺有科技感的。
远山白魅族16,追求源自热爱魅族16，没有刘海，保留了耳机接口，使用了屏下指纹，还有线性马达，超#的双摄，快充速度也够快，讲实话比某米好多了。虽然大多数人说3000毫安电池不够用，但根据我自己的使用情况来看，并没有那种耗电很快吃鸡可以吃好几个小时，崩坏3也是，而且开高特效，手机温度并没有非常烫，始终维持在一种温温的感觉，比我之前的手机好太多了有没有！下附跑分表和一些
极光蓝魅族16,还没有开封，估计很漂亮，已经是第二部16了，前一部是白色的16。这次极光色是现货，今天上午下单下午就到，稳的一批，超级喜欢京东和魅族啊，晒一下之前的白色16，两次原价抢到16，上天眷顾，哈哈哈哈哈哈哈哈哈
远山白魅族16,先说这个价位买到这个手机确实很惊艳，屏下指纹识别比较好。不足:屏幕相比两k还是差一点和对焦有点慢。魅族的客服态度不好，有个小问题，最终通过京东客服处理。总结，6+64够用的情况下，性价比很高。
静夜黑魅族16,没想到20号零点首发就抢到了。  性价比超高。 就是电池小了点
远山白魅族16,关键是喜欢flyme系统，因为魅族多年处理器用的联发科所以这几年没有买过魅族，但是当年用的matle即便到现在使用~qq还是很顺畅系统是真的好，难得今年终于使用了旗舰处理器必须上啊～
静夜黑魅族16,双十一预购，今天到货，拿到手的第一感觉就是太爽了，全面屏无刘海，包装也实在，用起来非常流畅，指纹解锁还可以的，续航确实是硬伤，由于到货较晚京东补豆给我了，还是比较有诚意的
静夜黑魅族16,屏幕指纹、人脸都比较快啊！无刘海颜值较高啊，中度使用电量到下班回家无压力啊。个人感觉，最大的缺点就是~多，需要手动禁止弹出。送的自带壳是刮花的。买了个全险
远山白魅族16,"#追求源于热爱#魅族16 白色 6+64  到手一晚，简单说下:
1:手感圆润，前后玻璃不割手，手握住两边有点滑，裸奔感觉会容易摔。面板只有细长型听筒跟前摄像头开口。两边边框窄，但是照片上黑色感觉会显得更窄一点。后摄像头贴了保护贴，不知道以后用会不会有划痕。
2:显示效果还可以，用惯了一加3T辣眼屏再看这个有点太素了，淡雅的感觉。
3:指纹添加一个需要按20次，解锁速度不如一加3T快。一加手指一放就行，这个得按一秒，有明显的等待时间，可能是我没揭膜的原因。回头来了玻璃膜再测。
4:手势切换速度快，但是需要适应。用惯了安卓三大键再用手势肯定会有学习成本。
5:电池还没充满测试，但是三千毫安感觉有点悬，希望优化能好点。不想随身带充电宝。
6:拍照只晚上拍了张，嗯。。感觉还好吧，拍照速度很快，但是对焦有拉风箱。恩，一定是晚上室内灯光光线不好的原因。
7:刚到手有推送升级7.1.1.1A，系统运行速度很快，无卡顿。内置应用有9个，都可删除，其他内置类似福利中心、新闻资讯之类不可删除。
字数满了，等追评。手机价格摆在这，你非要跟五六千的比，那就是耍流氓。这个价格能买到很超值，个人感觉，不喜勿喷。"
远山白魅族16,我是用了半个月才来评价的，我很好彩，20号零点上来京东看看就抢到了。抢的时候用了4g网，地址我都写错了，但是我知道我不能改，如果改了地址我肯定就抢不到了，于是全程下一步下一步就抢到了，手机买到又觉得有点浪费，毕竟也要小两千多，我自己已经自用6sp了。但是一直关注魅族，直到它出845。手机还是可以的，打游戏真的有散热功能，我的6sp烫死了，而16还是保持能被接受的温度。续航的话我轻度使用，也就刷刷头条看看~这样，晚上下班回来打几局刺激战场，晚上再刷头条，还是有电，一天一充这样子。游戏方面，刺激战场可以开hd高清，完全不会卡的。屏幕虽然没有我的6sp那么细腻，但也完全够用。国产手机屏幕很多确实不能拿来和苹果比较的。指纹解锁如大家看到那样，有时候还会更快，但是有一点是，识别率有待提高，手上有任何液体都会影响识别，记得很多次我早上买早餐付款不了，很气人啊。面部识别普通光线秒开，黑夜如果你的屏幕足够照亮你的脸也能识别。总之系统很爽啦，有不足的地方是，为啥下吧还是那么宽，有点遗憾。还有手机如果啥也不戴，真的超爽，黑暗情况下，按住闪光灯有很美的画面，正如你们所看到的网图一样，好了纯手打，500字
砚墨黑魅族16 X,"第一感觉：真香！?
魅族官网抢了三次，以失败告终！
失望之余，同一天竟然在京东意外抢到了！！！?
魅族做工依然扎实，用手机里的魅蓝note拍的，用了三年半的老手机了，依然坚挺！（运存和内存均告急）
先做个开箱体验，后期再追加使用体验的评价！?"
远山白魅族16 PLUS,"喜欢圆润白色的外观，总体满意，如果品控和相机再做好一点，那就完美了。
《一》屏幕，我个人觉得看起来比较舒服，不阴阳，不过屏幕向右倾斜了一点点，所以黑边不一，其他品牌的旗舰屏幕正正的黑边都对称，如果魅族能跟进，那就好了)
《二》相机，硬件不错，细节可以，但色彩偏冷，只能看看后期的软件更新了。
《三》马达的声音和触感不错。
《四》包装灰尘多，出厂膜上面有擦拭的水痕。
《五》边边的缝隙可以接受，不过边边进了几颗尘，清理不出来。
《六》基于Android 8.1做出来的Flyme7系统流畅可以，现在的Android做的很好，不会卡。"
